中文片名,外文片名,ID
禁忌的畫像：卡拉瓦喬之影,Caravaggio's Shadow,tt11877386
詭樓,Lockdown Tower,tt15152316
安妮艾諾 超八時光,The Super 8 Years,tt19758084
爛人,The Worst Ones,tt19719862
坎達哈行動,Kandahar,tt5761544
駭人骨娃娃,The Communion Girl,tt18072540
湯道,Yudo: The Way of the Bath,tt22777600
名偵探柯南 灰原哀物語〜黑鐵的神祕列車〜,Detective Conan Haibara Aimonogatari Black Iron Mystery Train,tt25994796
愛情停損點,Una relazione,tt14508984
貞子 DX,Sadako DX,tt19815280
厲嬰魂,Vong Nhi,tt26473516
收陰機,Sound of Silence,tt19363554
我的2年妓女生涯,The House,tt17505492
正宗巨齒鯊,The Black Demon,tt10279472
絕地營救,The Covenant,tt4873118
聖母院大火：世紀浩劫,Notre-Dame on Fire,tt12264966
捍衛任務4,John Wick: Chapter 4,tt10366206
沙贊！眾神之怒,Shazam! Fury of the Gods,tt10151854
古董局中局,Schemes in Antiques,tt11482948
萊茵金,Rheingold,tt15536668
龍馬精神,Ride On,tt15430628
鬼噤聲,Tainted Soul,tt21154728
熊蓋毒,Cocaine Bear,tt14209916
愛的密語,Aishiteru!,tt22046188
燃起希望之火,Harka,tt9317274
陰影下的她,Next Sohee,tt19820538
斷網,Cyber Heist,tt20204936
Anne的多重恐懼,Faces of Anne,tt10235670
揮灑心篇章,Maestro(s),tt14335980
萊拉兄弟,Leila's Brothers,tt19653180
追殺代理人,Simulant,tt13130024
魯蛇大翻身,Rebound,tt27002199
愛情美樂地,Joyland,tt19719976
寶可噩夢,Beau Is Afraid,tt13521006
Fishmans,Fishmans,tt14141970
燈火闌珊,A Light Never Goes Out,tt14071600
玫瑰母親(影展),Mother and Son,tt17014214
白日青春,The Sunny Side of the Street,tt18280126
流水落花,Lost Love,tt22397894
小熊維尼：血與蜜,Winnie-the-Pooh: Blood and Honey,tt19623240
限時追捕,To Catch a Killer,tt10275534
扶桑花女孩之舞,Hula Fulla Dance,tt13409496
心之谷,Mimi wo sumaseba,tt21651570
月之圓缺,Phases of the Moon,tt21652624
電影刀劍亂舞-黎明-,Touken Ranbu 2,tt23839206
美麗的他電影版,My Beautiful Man: Eternal,tt27190932
夏日悄悄話,The Quiet Girl,tt15109082
追兇12夜,The Night of the 12th,tt16953666
致蕾絲莉,To Leslie,tt8129806
金牌拳手III,Creed III,tt11145118
TÁR 塔爾,Tár,tt14444726
法貝爾曼,The Fabelmans,tt14208870
風再起時,Theory of Ambitions,tt6902394
這就是我,Sobakasu,tt23647266
